Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.999327447861433,0.023652871830418008,0.6155015988601371,0.6134143740147919,22.047189641802106,0.7073877620697021
2,1.0,0.009092538048535062,1.0,1.0,20.687570340070565,0.7150116384029388
3,1.0,0.007918704584735679,1.0,1.0,23.129951130913792,0.7749773690104484
4,1.0,0.006755017103132559,1.0,1.0,25.0302703589005,0.8100977140665054
5,1.0,0.005876341423850136,1.0,1.0,23.272362665443186,0.7454454800486565
6,1.0,0.005709274358596303,1.0,1.0,25.443952853410078,0.8102088141441345
7,1.0,0.005349333201112927,1.0,1.0,24.5955757434168,0.8488523054122925
8,1.0,0.004372980147118142,1.0,1.0,25.38306592838517,0.849064946770668
9,1.0,0.0039517650389097984,1.0,1.0,25.622921382303453,0.8329793840646744
10,1.0,0.006100802271844259,1.0,1.0,23.396684491584008,0.8335532939434052
11,1.0,0.0037034651798285266,1.0,1.0,25.681484914180714,0.8520634412765503
12,1.0,0.004102367466657597,1.0,1.0,27.435459833883343,0.8696889573335648
13,1.0,0.004014731728789229,1.0,1.0,24.944338072051977,0.8452434909343719
14,1.0,0.003635432185155878,1.0,1.0,26.39051060009549,0.8400261968374252
15,1.0,0.0034661468469130343,1.0,1.0,26.619788581265734,0.8637793433666229
16,1.0,0.0035499194281510427,1.0,1.0,25.76981972810618,0.8423525434732437
17,1.0,0.003974723521148462,1.0,1.0,25.05865291251419,0.8552788805961609
18,1.0,0.00310605332376781,1.0,1.0,26.73873900036298,0.8529040348529816
19,1.0,0.0038658804229044106,1.0,1.0,26.79872580001224,0.8521450650691986
20,1.0,0.0029921423376026725,1.0,1.0,26.77172456777545,0.8654562520980835
